readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,keep,clinevents,immevents,refevents,dbasebuild,_merge
7K14.00,6734,open surgical fracture of bone,402,0,117,0,February 2009,1,209,0,6,February 2009,matched (3)
7K14y00,32178,other specified open surgical fracture of bone,12,0,0,0,February 2009,1,10,0,0,February 2009,matched (3)
7K14z00,41563,open surgical fracture of bone nos,22,0,0,0,February 2009,1,19,0,0,February 2009,matched (3)
7K15.00,7393,other surgical fracture of bone,866,0,52,0,February 2009,1,779,0,50,February 2009,matched (3)
7K15y00,72908,other specified other surgical fracture of bone,21,0,0,0,February 2009,1,14,0,0,February 2009,matched (3)
7K15z00,33357,other surgical fracture of bone nos,68,0,3,0,February 2009,1,55,0,3,February 2009,matched (3)
7K1F100,55995,primary excis intraarticular fragment intraartic fract bone,10,0,0,0,February 2009,1,7,0,0,February 2009,matched (3)
B563200,50904,secondary and unspec malig neop infraclavicular lymph nodes,9,0,0,0,February 2009,1,6,0,0,February 2009,matched (3)
B585000,18676,pathological fracture due to metastatic bone disease,1349,0,36,0,February 2009,1,1061,0,34,February 2009,matched (3)
N331.00,5526,pathological fracture,2382,0,140,1,February 2009,1,1651,0,134,February 2009,matched (3)
N331.13,100677,sponanteous fracture,4,0,0,0,September 2010,1,3,0,0,September 2010,matched (3)
N331000,30616,pathological fracture of thoracic vertebra,326,0,4,0,February 2009,1,181,0,2,February 2009,matched (3)
N331100,30352,pathological fracture of lumbar vertebra,483,0,12,0,February 2009,1,295,0,11,February 2009,matched (3)
N331200,39334,postoophorectomy osteoporosis with pathological fracture,17,0,0,0,February 2009,1,15,0,0,February 2009,matched (3)
N331300,33526,osteoporosis of disuse with pathological fracture,72,0,0,0,February 2009,1,55,0,0,February 2009,matched (3)
N331500,46894,drug-induced osteoporosis with pathological fracture,46,0,1,0,February 2009,1,37,0,1,February 2009,matched (3)
N331600,27597,idiopathic osteoporosis with pathological fracture,158,0,6,0,February 2009,1,117,0,6,February 2009,matched (3)
N331800,17377,osteoporosis + pathological fracture lumbar vertebrae,1945,0,38,0,February 2009,1,1432,0,33,February 2009,matched (3)
N331900,12673,osteoporosis + pathological fracture thoracic vertebrae,1739,0,49,0,February 2009,1,1289,0,47,February 2009,matched (3)
