readcode,medcode,readterm,clinicalevents,immunisationevents,referralevents,testevents,databaserelease,clinevents,immevents,refevents,dbasebuild,_merge
7J41.00,31933,decompression of fracture of spine,889,0,43,0,February 2009,639,0,40,February 2009,matched (3)
7J41000,106504,complex decompression of fracture of spine,3,0,0,0,August 2013,2,0,0,August 2013,matched (3)
7J41100,68811,anterior decompression of fracture of spine,31,0,0,0,February 2009,13,0,0,February 2009,matched (3)
7J41200,98016,posterior decompression of fracture of spine,7,0,0,0,November 2009,4,0,0,November 2009,matched (3)
7J41300,88269,vertebroplasty of fracture of spine,158,0,0,0,February 2009,112,0,0,February 2009,matched (3)
7J41400,91658,posterior decompression of fracture of spine nec,36,0,0,0,February 2009,22,0,0,February 2009,matched (3)
7J41500,90472,balloon kyphoplasty of fracture of spine,410,0,3,0,February 2009,344,0,3,February 2009,matched (3)
7J41y00,65606,other specified decompression of fracture of spine,24,0,0,0,February 2009,11,0,0,February 2009,matched (3)
7J41z00,45410,decompression of fracture of spine nos,63,0,0,0,February 2009,48,0,0,February 2009,matched (3)
7J42.00,20744,other reduction of fracture of spine,420,0,11,0,February 2009,297,0,10,February 2009,matched (3)
7J42.11,48159,other reduction of fracture of spine and stabilisation,93,0,1,0,February 2009,62,0,1,February 2009,matched (3)
7J42000,49564,open reduction of fracture of spine & excis facet of spine,19,0,0,0,February 2009,16,0,0,February 2009,matched (3)
7J42100,34634,open reduction of fracture of spine nec,30,0,0,0,February 2009,25,0,0,February 2009,matched (3)
7J42200,49529,manipulative reduction of fracture of spine,12,0,0,0,February 2009,10,0,0,February 2009,matched (3)
7J42300,63452,spinal extension traction for fracture of spine,32,0,0,0,February 2009,27,0,0,February 2009,matched (3)
7J42400,43600,halo skull traction for fracture of spine,134,0,4,0,February 2009,109,0,4,February 2009,matched (3)
7J42500,15622,spinal traction for fracture of spine nec,52,0,0,0,February 2009,45,0,0,February 2009,matched (3)
7J42600,51521,primary bedrest stabilisation of spinal fracture,8,0,0,0,February 2009,6,0,0,February 2009,matched (3)
7J42700,46171,primary collar stabilisation of spinal fracture,21,0,0,0,February 2009,16,0,0,February 2009,matched (3)
7J42800,114137,primary skull traction stabilisation of spinal fracture,1,0,0,0,August 2019,,,,,master only (1)
7J42900,71006,primary cast stabilisation of spinal fracture,4,0,0,0,February 2009,3,0,0,February 2009,matched (3)
7J42A00,113564,primary external fixation stabilisation of spinal fracture,4,0,0,0,April 2019,,,,,master only (1)
7J42B00,98165,primary other external stabilisation of spinal fracture,3,0,0,0,December 2009,1,0,0,December 2009,matched (3)
7J42J00,110247,primary closed reduction spinal fracture alone,3,0,0,0,November 2015,1,0,0,November 2015,matched (3)
7J42L00,104803,primary cls reduction spinal fracture+bedrest stabilisation,1,0,0,0,August 2012,1,0,0,August 2012,matched (3)
7J42M00,61389,primary cls reduc spinal fracture+skull traction stabilisatn,1,0,0,0,February 2009,1,0,0,February 2009,matched (3)
7J42Y00,113915,primary open reduction spinal fracture alone,3,0,0,0,July 2019,,,,,master only (1)
7J42g00,114676,rvsn open reduc spinal fracture+collar stabilisation,1,0,0,0,February 2020,,,,,master only (1)
7J42y00,93752,other specified other reduction of fracture of spine,3,0,0,0,February 2009,3,0,0,February 2009,matched (3)
7J42z00,92356,other reduction of fracture of spine nos,24,0,0,0,February 2009,15,0,0,February 2009,matched (3)
7J43.00,20598,fixation of fracture of spine,703,0,16,0,February 2009,508,0,16,February 2009,matched (3)
7J43.11,62489,internal fixation of fracture of spine,65,0,0,0,February 2009,41,0,0,February 2009,matched (3)
7J43000,28966,primary open reduc spinal fracture+internal fix+plate,28,0,0,0,February 2009,25,0,0,February 2009,matched (3)
7J43100,34850,fixation of fracture of spine using harrington rod,158,0,3,0,February 2009,119,0,3,February 2009,matched (3)
7J43200,63980,fixation of fracture of spine and skull traction hfq,6,0,0,0,February 2009,4,0,0,February 2009,matched (3)
7J43211,63954,barr skull traction for fracture of spine,2,0,0,0,February 2009,2,0,0,February 2009,matched (3)
7J43300,64388,primary open reduc spinal fracture+internal fix+wire,21,0,0,0,February 2009,16,0,0,February 2009,matched (3)
7J43400,61491,primary open reduc spinal fracture+internal fix+rod system,12,0,0,0,February 2009,7,0,0,February 2009,matched (3)
7J43700,91649,primary open reduc spinal fracture+other internal fix,16,0,0,0,February 2009,11,0,0,February 2009,matched (3)
7J43900,67910,rvsn open reduc spinal fracture+internal fix+plate,5,0,0,0,February 2009,4,0,0,February 2009,matched (3)
7J43A00,98056,rvsn open reduc spinal fracture+internal fix+rod system,1,0,0,0,November 2009,1,0,0,November 2009,matched (3)
7J43C00,63218,rvsn open reduc spinal fracture+internal fix+internl fixator,3,0,0,0,February 2009,1,0,0,February 2009,matched (3)
7J43D00,113880,rvsn open reduc spinal fracture+other internal fix,2,0,0,0,June 2019,,,,,master only (1)
7J43y00,73344,other specified fixation of fracture of spine,24,0,0,0,February 2009,15,0,0,February 2009,matched (3)
7J43z00,60352,fixation of fracture of spine nos,55,0,0,0,February 2009,39,0,0,February 2009,matched (3)
N1y1.00,16895,fatigue fracture of vertebra,1144,0,47,0,February 2009,917,0,43,February 2009,matched (3)
N331000,30616,pathological fracture of thoracic vertebra,326,0,4,0,February 2009,181,0,2,February 2009,matched (3)
N331100,30352,pathological fracture of lumbar vertebra,483,0,12,0,February 2009,295,0,11,February 2009,matched (3)
N331800,17377,osteoporosis + pathological fracture lumbar vertebrae,1945,0,38,0,February 2009,1432,0,33,February 2009,matched (3)
N331900,12673,osteoporosis + pathological fracture thoracic vertebrae,1739,0,49,0,February 2009,1289,0,47,February 2009,matched (3)
N331A00,48772,osteoporosis + pathological fracture cervical vertebrae,43,0,2,0,February 2009,29,0,2,February 2009,matched (3)
N331C00,37945,pathological fracture of cervical vertebra,38,0,0,0,February 2009,25,0,0,February 2009,matched (3)
S10..00,8255,fracture of spine without mention of spinal cord injury,5386,0,51,0,February 2009,3167,0,43,February 2009,matched (3)
S10..11,30058,fracture of transverse process spine - no spinal cord lesion,745,0,4,0,February 2009,508,0,3,February 2009,matched (3)
S10..12,4409,fracture of vertebra without spinal cord lesion,4297,0,171,0,February 2009,3294,0,152,February 2009,matched (3)
S100.00,11296,closed fracture of cervical spine,4429,0,61,0,February 2009,2939,0,51,February 2009,matched (3)
S100.11,112617,closed fracture of atlas without spinal cord lesion,1,0,0,0,April 2018,,,,,master only (1)
S100000,15613,closed fracture of unspecified cervical vertebra,545,0,58,0,February 2009,463,0,56,February 2009,matched (3)
